book1,book2,cosine_similarity
278.txt,279.txt,0.3433523920720469
227.txt,274.txt,0.34302415382855955
53.txt,56.txt,0.33977433522173306
424.txt,400.txt,0.3395082105650034
309.txt,259.txt,0.3372211809567477
232.txt,58.txt,0.336046895497385
38.txt,34.txt,0.33320867758696493
158.txt,453.txt,0.33205771827242136
64.txt,72.txt,0.3317905155791306
206.txt,408.txt,0.3308534571258994
26.txt,397.txt,0.33074636414052727
264.txt,263.txt,0.3281430042151804
26.txt,409.txt,0.3270266752445672
38.txt,75.txt,0.325598500922287
80.txt,56.txt,0.3241501406491794
127.txt,302.txt,0.32396830963884155
309.txt,207.txt,0.3206509875297589
277.txt,279.txt,0.3203059722135043
21.txt,374.txt,0.3198716284174086
418.txt,273.txt,0.3185188559106422
237.txt,274.txt,0.3180999979124935
451.txt,220.txt,0.3177721717096862
392.txt,58.txt,0.3168872878153791
234.txt,357.txt,0.31505556290300896
47.txt,105.txt,0.31195116675110984
250.txt,39.txt,0.3071942576329373
229.txt,274.txt,0.304664887459536
80.txt,250.txt,0.30169900989444653
79.txt,101.txt,0.30156910591712366
10.txt,357.txt,0.299850252429545
68.txt,72.txt,0.29830327338744483
118.txt,250.txt,0.29654038476287825
118.txt,56.txt,0.29479240505872095
331.txt,362.txt,0.2936626276910461
232.txt,397.txt,0.29047875323078487
129.txt,50.txt,0.2901268067711168
279.txt,239.txt,0.2896910395329093
58.txt,317.txt,0.2876551581439096
266.txt,257.txt,0.2871598723480017
228.txt,20.txt,0.2871069606858783
20.txt,26.txt,0.2863888489174265
418.txt,272.txt,0.2855069225518694
10.txt,109.txt,0.28469067110414825
169.txt,26.txt,0.28366291854076486
232.txt,317.txt,0.2832805996119151
169.txt,58.txt,0.2824539844825795
101.txt,75.txt,0.2823665864775582
58.txt,397.txt,0.28205497170454674
374.txt,28.txt,0.278563397412228
273.txt,272.txt,0.27825053890538515
10.txt,124.txt,0.2766400507753647
80.txt,53.txt,0.2752275646408298
323.txt,315.txt,0.27381129410483773
5.txt,9.txt,0.27133882540227555
317.txt,109.txt,0.2707797270736791
392.txt,232.txt,0.26986652998598315
18.txt,300.txt,0.2698295037011428
476.txt,382.txt,0.26899271464753144
26.txt,258.txt,0.26770200811249745
331.txt,361.txt,0.26524644771488104
206.txt,102.txt,0.2648710927614119
232.txt,109.txt,0.2631875146007281
10.txt,17.txt,0.26285791689141935
234.txt,58.txt,0.2584513711930984
357.txt,109.txt,0.25816105149171015
58.txt,409.txt,0.2576643517454307
26.txt,234.txt,0.25725805207544744
150.txt,254.txt,0.2541566920946425
337.txt,341.txt,0.252329975203445
39.txt,56.txt,0.25154495144692035
18.txt,71.txt,0.25037066798440377
262.txt,264.txt,0.2500872387656528
80.txt,39.txt,0.25006941585439935
53.txt,75.txt,0.24906638505015993
118.txt,39.txt,0.24825175192794038
38.txt,80.txt,0.24749801951327416
450.txt,354.txt,0.2451322929822337
357.txt,232.txt,0.24308474086655396
258.txt,232.txt,0.24305031211630612
53.txt,49.txt,0.24228323565018633
202.txt,67.txt,0.24031475373291217
258.txt,317.txt,0.2400189066108658
381.txt,382.txt,0.23876318088677856
169.txt,234.txt,0.23639376199267959
298.txt,121.txt,0.23596559978072112
200.txt,475.txt,0.23570429159251688
53.txt,34.txt,0.23568376218038142
475.txt,379.txt,0.23563999852268222
18.txt,99.txt,0.23387099722200483
379.txt,381.txt,0.2335894014854878
258.txt,58.txt,0.23348317209605318
409.txt,317.txt,0.23277488794407497
339.txt,341.txt,0.23249660997724436
200.txt,379.txt,0.23127084154745142
26.txt,264.txt,0.23113103156658305
82.txt,26.txt,0.2311152581232774
430.txt,369.txt,0.2305125400209577
101.txt,118.txt,0.2304811581212016
82.txt,58.txt,0.2287557318620044
392.txt,317.txt,0.2287063056852027
26.txt,398.txt,0.22834987429644307
381.txt,333.txt,0.22777140202494212
228.txt,26.txt,0.22732118350530717
390.txt,2.txt,0.22526764516653594
26.txt,458.txt,0.22468689195062974
258.txt,109.txt,0.22462383667372102
390.txt,4.txt,0.2245746420340547
101.txt,80.txt,0.22422415898742665
45.txt,105.txt,0.2236604653412547
53.txt,250.txt,0.22327855016971548
392.txt,357.txt,0.2232346621704967
67.txt,99.txt,0.22283507458491708
390.txt,6.txt,0.22273071652541784
397.txt,317.txt,0.22262624419711888
232.txt,458.txt,0.22148433315306967
261.txt,109.txt,0.22124123882107385
82.txt,498.txt,0.2212391241764422
390.txt,3.txt,0.2197261732871114
458.txt,317.txt,0.21964267691480774
390.txt,7.txt,0.21915201140683105
392.txt,397.txt,0.2183178495351113
328.txt,309.txt,0.218308277178618
341.txt,336.txt,0.21825207025324506
458.txt,312.txt,0.21789317311549675
405.txt,379.txt,0.21703571413823614
326.txt,465.txt,0.21696336940144312
408.txt,99.txt,0.2166974834866841
163.txt,317.txt,0.21463877084483277
261.txt,400.txt,0.21457401260524167
315.txt,460.txt,0.2130184134734953
475.txt,477.txt,0.21242058708896686
431.txt,94.txt,0.21233674801528604
200.txt,476.txt,0.21227954969968124
250.txt,2.txt,0.21133191739979307
136.txt,487.txt,0.21107223274072154
232.txt,230.txt,0.20993347878146928
50.txt,127.txt,0.20983193455734137
18.txt,448.txt,0.20955193151344598
130.txt,439.txt,0.20923015317838237
53.txt,118.txt,0.20922379796280097
444.txt,475.txt,0.20849508503832062
